name,fuel,status,cod,province,capacity_mwe
Miền Trung I (Khí Cá Voi Xanh),Local Natural Gas,Planned,2024,Quảng Ngãi/Quảng Trị,750
Miền Trung II (Khí Cá Voi Xanh),Local Natural Gas,Planned,2025,Quảng Ngãi/Quảng Trị,750
Dung Quất I (Khí Cá Voi Xanh),Local Natural Gas,Planned,2024,Quảng Ngãi,750
Dung Quất II (Khí Cá Voi Xanh),Local Natural Gas,Planned,2026,Quảng Ngãi,750
Dung Quất III (Khí Cá Voi Xanh),Local Natural Gas,Planned,2025,Quảng Ngãi,750
Quảng Trị (Khí Báo Vàng),Local Natural Gas,Planned,2025,Quảng Trị,340
Phú Mỹ 3.1,LNG,Proposed,Post-2030,Bà Rịa-Vũng Tàu,850
Bà Rịa 2,LNG,Proposed,Post-2030,Bà Rịa-Vũng Tàu,1200
Tân Thuận - Đầm Dơi LNG,LNG,Proposed,Post-2030,Cà Mau,3200
Sông Đốc LNG,LNG,Proposed,Post-2030,Cà Mau,3000
Thủ Đức,Oil (FO/DO),Operational,1960s (retired 2020),Ho Chi Minh City,165
Cần Thơ (S4),Oil (FO),Operational (retired),2010s (retired 2021),Can Tho,33
Hiệp Phước,Oil (FO),Operational (converted to LNG),2000s (retired 2020),Ho Chi Minh City,375
Bourbon,Oil (FO),Operational,2010s,Binh Dinh,24
EVN's Power Corporations,Diesel,Operational (distributed),Ongoing,Various,285
Amata,Diesel,Operational,2010s,Dong Nai,14
Formosa Hà Tĩnh #3,Blast Furnace Gas (Co-gen),Operational,2016,Hà Tĩnh,100
Formosa Hà Tĩnh #4,Blast Furnace Gas (Co-gen),Operational,2016,Hà Tĩnh,100
Formosa Hà Tĩnh #8,Blast Furnace Gas (Co-gen),Planned,2020,Hà Tĩnh,100
Formosa Hà Tĩnh #9,Blast Furnace Gas (Co-gen),Planned,2020,Hà Tĩnh,100
NĐ hóa dầu Long Sơn #1,Oil/Refinery Gas,Operational,2017,Bà Rịa-Vũng Tàu,75
NĐ hóa dầu Long Sơn #2,Oil/Refinery Gas,Operational,2018,Bà Rịa-Vũng Tàu,75
NĐ hóa dầu Long Sơn #3,Oil/Refinery Gas,Operational,2018,Bà Rịa-Vũng Tàu,75
NĐ đồng phát Hải Hà 1,Coal (Co-gen),Operational,2019,Quảng Ninh,300
NĐ đồng phát Hải Hà 2,Coal (Co-gen),Operational,2021,Quảng Ninh,600
NĐ đồng phát Hải Hà 3,Coal (Co-gen),Planned,2026,Quảng Ninh,600
NĐ đồng phát Hải Hà 4,Coal (Co-gen),Planned,2028,Quảng Ninh,600
NĐ đồng phát Đức Giang,Biomass (Co-gen),Operational,2020s,Hà Nội,100
NĐ đồng phát Rạng Đông,Coal (Co-gen),Planned,2025,Nam Định,100
NĐ sinh khối KCP #1,Bagasse (Biomass),Operational,2016,Phú Yên,30
NĐ sinh khối KCP #2,Bagasse (Biomass),Operational,2018,Phú Yên,30
Điện sinh khối An Khê #1,Bagasse (Biomass),Operational,2017,Gia Lai,55
Điện sinh khối An Khê #2,Bagasse (Biomass),Operational,2018,Gia Lai,55
NĐ sinh khối Lee&Man,Bagasse (Biomass),Operational,2018,Hậu Giang,125
Formosa Hà Tĩnh #2,Coal (Co-gen),Operational,2012,Hà Tĩnh,150
Formosa Hà Tĩnh #5,Coal (Co-gen),Operational,2016,Hà Tĩnh,150
Formosa Hà Tĩnh #6,Coal (Co-gen),Operational,2020,Hà Tĩnh,150
Formosa Hà Tĩnh #7,Coal (Co-gen),Operational,2020,Hà Tĩnh,150
Formosa Hà Tĩnh #10,Coal (Co-gen),Operational,2020,Hà Tĩnh,150
NĐ Vê Dan,Oil (Diesel),Operational,2010s,Bà Rịa-Vũng Tàu,72
NĐ Dam Phú Mỹ,Oil (Diesel),Operational,2010s,Bà Rịa-Vũng Tàu,21
