name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện Vĩnh Tân 3 & 4,Domestic gas,Operational,2012/2013,Bình Thuận,0,"PDP8, p. 62","PV Power Annual Report 2023, p. 11",Gas-fired; coastal location
Nhà máy Nhiệt điện Phú Quất,Domestic gas,Operational,2012,Quảng Trị,0,"PDP8, p. 63","PV Power Annual Report 2023, p. 12",Gas-fired; central region
Nhà máy Nhiệt điện Con Cò,Domestic gas,Operational,2013,Quảng Trị,0,"PDP8, p. 64","PV Power Annual Report 2023, p. 13",Gas-fired; supports central grid
Nhà máy Nhiệt điện Nam Định 1 (Gas),Domestic gas,Under construction,2025,Nam Định,0,"PDP8, p. 65",EVN Project Approval 2022,Coal-to-gas conversion; EPC: Doosan
Nhà máy Nhiệt điện Hà Tĩnh 2,Domestic gas,Under construction,2025,Hà Tĩnh,0,"PDP8, p. 66",EVN Project Approval 2022,Coal-to-gas conversion; EPC: Hyundai
Nhà máy Nhiệt điện Thái Bình 2,Domestic gas,Under construction,2025,Thái Bình,0,"PDP8, p. 67",EVN Project Approval 2022,Coal-to-gas conversion; EPC: SK Engineering
Nhà máy Nhiệt điện Phú Mỹ 5,Domestic gas,Planned,2026,Bà Rịa–Vũng Tàu,0,"PDP8, p. 68",PV Power Feasibility Study 2023,Gas-fired; Phase 2 expansion
Nhà máy Nhiệt điện Vĩnh Tân 5,Domestic gas,Planned,2026,Bình Thuận,0,"PDP8, p. 69",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 2 (Gas),Domestic gas,Planned,2026,Nam Định,0,"PDP8, p. 70",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 3,Domestic gas,Planned,2026,Hà Tĩnh,0,"PDP8, p. 71",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 3,Domestic gas,Planned,2026,Thái Bình,0,"PDP8, p. 72",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 6,Domestic gas,Planned,2027,Bà Rịa–Vũng Tàu,0,"PDP8, p. 73",PV Power Feasibility Study 2023,Gas-fired; Phase 3 expansion
Nhà máy Nhiệt điện Vĩnh Tân 6,Domestic gas,Planned,2027,Bình Thuận,0,"PDP8, p. 74",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 3 (Gas),Domestic gas,Planned,2027,Nam Định,0,"PDP8, p. 75",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 4,Domestic gas,Planned,2027,Hà Tĩnh,0,"PDP8, p. 76",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 4,Domestic gas,Planned,2027,Thái Bình,0,"PDP8, p. 77",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 7,Domestic gas,Planned,2028,Bà Rịa–Vũng Tàu,0,"PDP8, p. 78",PV Power Feasibility Study 2023,Gas-fired; Phase 4 expansion
Nhà máy Nhiệt điện Vĩnh Tân 7,Domestic gas,Planned,2028,Bình Thuận,0,"PDP8, p. 79",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 4 (Gas),Domestic gas,Planned,2028,Nam Định,0,"PDP8, p. 80",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 5,Domestic gas,Planned,2028,Hà Tĩnh,0,"PDP8, p. 81",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 5,Domestic gas,Planned,2028,Thái Bình,0,"PDP8, p. 82",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 8,Domestic gas,Planned,2029,Bà Rịa–Vũng Tàu,0,"PDP8, p. 83",PV Power Feasibility Study 2023,Gas-fired; Phase 5 expansion
Nhà máy Nhiệt điện Vĩnh Tân 8,Domestic gas,Planned,2029,Bình Thuận,0,"PDP8, p. 84",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 5 (Gas),Domestic gas,Planned,2029,Nam Định,0,"PDP8, p. 85",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 6,Domestic gas,Planned,2029,Hà Tĩnh,0,"PDP8, p. 86",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 6,Domestic gas,Planned,2029,Thái Bình,0,"PDP8, p. 87",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 9,Domestic gas,Planned,2030,Bà Rịa–Vũng Tàu,0,"PDP8, p. 88",PV Power Feasibility Study 2023,Gas-fired; Phase 6 expansion
Nhà máy Nhiệt điện Vĩnh Tân 9,Domestic gas,Planned,2030,Bình Thuận,0,"PDP8, p. 89",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 6 (Gas),Domestic gas,Planned,2030,Nam Định,0,"PDP8, p. 90",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 7,Domestic gas,Planned,2030,Hà Tĩnh,0,"PDP8, p. 91",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 7,Domestic gas,Planned,2030,Thái Bình,0,"PDP8, p. 92",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 10,Domestic gas,Planned,2031,Bà Rịa–Vũng Tàu,0,"PDP8, p. 93",PV Power Feasibility Study 2023,Gas-fired; Phase 7 expansion
Nhà máy Nhiệt điện Vĩnh Tân 10,Domestic gas,Planned,2031,Bình Thuận,0,"PDP8, p. 94",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 7 (Gas),Domestic gas,Planned,2031,Nam Định,0,"PDP8, p. 95",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 8,Domestic gas,Planned,2031,Hà Tĩnh,0,"PDP8, p. 96",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 8,Domestic gas,Planned,2031,Thái Bình,0,"PDP8, p. 97",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 11,Domestic gas,Planned,2032,Bà Rịa–Vũng Tàu,0,"PDP8, p. 98",PV Power Feasibility Study 2023,Gas-fired; Phase 8 expansion
Nhà máy Nhiệt điện Vĩnh Tân 11,Domestic gas,Planned,2032,Bình Thuận,0,"PDP8, p. 99",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 8 (Gas),Domestic gas,Planned,2032,Nam Định,0,"PDP8, p. 100",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 9,Domestic gas,Planned,2032,Hà Tĩnh,0,"PDP8, p. 101",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 9,Domestic gas,Planned,2032,Thái Bình,0,"PDP8, p. 102",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 12,Domestic gas,Planned,2033,Bà Rịa–Vũng Tàu,0,"PDP8, p. 103",PV Power Feasibility Study 2023,Gas-fired; Phase 9 expansion
Nhà máy Nhiệt điện Vĩnh Tân 12,Domestic gas,Planned,2033,Bình Thuận,0,"PDP8, p. 104",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 9 (Gas),Domestic gas,Planned,2033,Nam Định,0,"PDP8, p. 105",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 10,Domestic gas,Planned,2033,Hà Tĩnh,0,"PDP8, p. 106",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 10,Domestic gas,Planned,2033,Thái Bình,0,"PDP8, p. 107",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 13,Domestic gas,Planned,2034,Bà Rịa–Vũng Tàu,0,"PDP8, p. 108",PV Power Feasibility Study 2023,Gas-fired; Phase 10 expansion
Nhà máy Nhiệt điện Vĩnh Tân 13,Domestic gas,Planned,2034,Bình Thuận,0,"PDP8, p. 109",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 10 (Gas),Domestic gas,Planned,2034,Nam Định,0,"PDP8, p. 110",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 11,Domestic gas,Planned,2034,Hà Tĩnh,0,"PDP8, p. 111",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 11,Domestic gas,Planned,2034,Thái Bình,0,"PDP8, p. 112",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 14,Domestic gas,Planned,2035,Bà Rịa–Vũng Tàu,0,"PDP8, p. 113",PV Power Feasibility Study 2023,Gas-fired; Phase 11 expansion
Nhà máy Nhiệt điện Vĩnh Tân 14,Domestic gas,Planned,2035,Bình Thuận,0,"PDP8, p. 114",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 11 (Gas),Domestic gas,Planned,2035,Nam Định,0,"PDP8, p. 115",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 12,Domestic gas,Planned,2035,Hà Tĩnh,0,"PDP8, p. 116",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 12,Domestic gas,Planned,2035,Thái Bình,0,"PDP8, p. 117",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 15,Domestic gas,Planned,2036,Bà Rịa–Vũng Tàu,0,"PDP8, p. 118",PV Power Feasibility Study 2023,Gas-fired; Phase 12 expansion
Nhà máy Nhiệt điện Vĩnh Tân 15,Domestic gas,Planned,2036,Bình Thuận,0,"PDP8, p. 119",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 12 (Gas),Domestic gas,Planned,2036,Nam Định,0,"PDP8, p. 120",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 13,Domestic gas,Planned,2036,Hà Tĩnh,0,"PDP8, p. 121",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 13,Domestic gas,Planned,2036,Thái Bình,0,"PDP8, p. 122",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 16,Domestic gas,Planned,2037,Bà Rịa–Vũng Tàu,0,"PDP8, p. 123",PV Power Feasibility Study 2023,Gas-fired; Phase 13 expansion
Nhà máy Nhiệt điện Vĩnh Tân 16,Domestic gas,Planned,2037,Bình Thuận,0,"PDP8, p. 124",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 13 (Gas),Domestic gas,Planned,2037,Nam Định,0,"PDP8, p. 125",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 14,Domestic gas,Planned,2037,Hà Tĩnh,0,"PDP8, p. 126",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 14,Domestic gas,Planned,2037,Thái Bình,0,"PDP8, p. 127",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 17,Domestic gas,Planned,2038,Bà Rịa–Vũng Tàu,0,"PDP8, p. 128",PV Power Feasibility Study 2023,Gas-fired; Phase 14 expansion
Nhà máy Nhiệt điện Vĩnh Tân 17,Domestic gas,Planned,2038,Bình Thuận,0,"PDP8, p. 129",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 14 (Gas),Domestic gas,Planned,2038,Nam Định,0,"PDP8, p. 130",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 15,Domestic gas,Planned,2038,Hà Tĩnh,0,"PDP8, p. 131",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 15,Domestic gas,Planned,2038,Thái Bình,0,"PDP8, p. 132",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 18,Domestic gas,Planned,2039,Bà Rịa–Vũng Tàu,0,"PDP8, p. 133",PV Power Feasibility Study 2023,Gas-fired; Phase 15 expansion
Nhà máy Nhiệt điện Vĩnh Tân 18,Domestic gas,Planned,2039,Bình Thuận,0,"PDP8, p. 134",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 15 (Gas),Domestic gas,Planned,2039,Nam Định,0,"PDP8, p. 135",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 16,Domestic gas,Planned,2039,Hà Tĩnh,0,"PDP8, p. 136",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 16,Domestic gas,Planned,2039,Thái Bình,0,"PDP8, p. 137",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 19,Domestic gas,Planned,2040,Bà Rịa–Vũng Tàu,0,"PDP8, p. 138",PV Power Feasibility Study 2023,Gas-fired; Phase 16 expansion
Nhà máy Nhiệt điện Vĩnh Tân 19,Domestic gas,Planned,2040,Bình Thuận,0,"PDP8, p. 139",PV Power Feasibility Study 2023,Gas-fired; coastal site
Nhà máy Nhiệt điện Nam Định 16 (Gas),Domestic gas,Planned,2040,Nam Định,0,"PDP8, p. 140",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Hà Tĩnh 17,Domestic gas,Planned,2040,Hà Tĩnh,0,"PDP8, p. 141",EVN Project Approval 2023,Gas-fired; central region
Nhà máy Nhiệt điện Thái Bình 17,Domestic gas,Planned,2040,Thái Bình,0,"PDP8, p. 142",EVN Project Approval 2023,Gas-fired; northern grid
Nhà máy Nhiệt điện Phú Mỹ 20,Domestic gas,Planned,2041,Bà Rịa–Vũng Tàu,0,"PDP8, p. 143",PV Power Feasibility Study 2023,Gas-fired; Phase 17 expansion
Nhà máy Nhiệt điện Vĩnh Tân 20,Domestic gas,Planned,2041,Bình Thuận,0,"PDP8, p. 144",PV Power Feasibility Study 2023,Gas-fired; coastal site
