name,fuel,status,cod,province,capacity_mwe
Hồ Vĩnh Sơn 2 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2005-01-01,0
Hồ Cấm Sơn Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,1978-01-01,0
Hồ An Khê Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2008-01-01,0
Nam Pao Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Tà Lộc Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2006-01-01,0
Hồ Ia Ly (Expansion) Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2005-01-01,0
Hồ Đắk Pơ Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2004-01-01,0
Hồ Rào Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2007-01-01,0
Hồ Vụ Bặc Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2008-01-01,0
Hồ Hồ Cần Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2009-01-01,0
Hồ Tả Pìn Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2010-01-01,0
Hồ Song Re Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2009-01-01,0
Hồ Sông Bung 6 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ba Khe Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2012-01-01,0
Hồ Tà Vi Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2013-01-01,0
Hồ Da Den Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Rào Trăng 3 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Song Lâp 1 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Sông Bung 5 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Tà Phơi Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Súp Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Phê Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Buôn Sấp Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea H’Mơ Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Sông Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Rập Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Dơr Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Ly Kăl Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Tam Kăl Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Khế Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Kăh Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Phượng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ Ea Súp 2 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Hồ An Khê (New) Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Thác Bà (Expansion) Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Krông Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Krông 2 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Lép Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Rông Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Kieng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Po Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Tiên Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea U Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Sô Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Thong Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea M’Dro Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Sra Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Suôl Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Rô Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Săng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Sông 2 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Pơ Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Du Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea H’Lei Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Ri Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Pơng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Nô Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea Băng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea M’Nha Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea H’Nol Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea H’Lu Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea H’Nô Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea H’Nho Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea H’Nư Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea H’Nha Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea H’Nang Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ea H’Nai Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Ba Bi Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Hòn Me Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Sông Tranh 3 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Ho Thien An Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Ho Co May Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Ho Thuan Nam Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Ho Da Bac Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Ho Nuoc Ngot Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Ho Suoi Dao Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Ho Suoi Giot Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Ho Suoi Da Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Mung Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Lú Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Pơc Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Chi Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Sơ Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Pơ Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Pơro Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Đa Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Đăt Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Hồ Tà Đaeng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
