Name,Province,Fuel,Capacity,Status,COD Year,Sources
Mỹ Giang,Khánh Hòa,LNG,6000,Proposed,2030,[4]
Na Dương,Lạng Sơn,Coal (Local),110,Operational,2011,[3]
Na Dương II,Lạng Sơn,Coal (Local),110,Constructing,2023,"[1,2]"
Nam Định I,Nam Định,Coal (Import),1200,Planned,2026,"[1,2]"
Nghi Sơn I,Thanh Hóa,Coal (Import),600,Operational,2014,"[5,6]"
Nghi Sơn II,Thanh Hóa,Coal (Import),1200,Constructing,2022,"[1,2]"
Nhơn Trạch 1,Đồng Nai,Natural Gas,450,Operational,2008,"[5,6]"
Nhơn Trạch 2,Đồng Nai,Natural Gas,750,Operational,2011,"[5,6]"
Nhơn Trạch 3&4,Đồng Nai,LNG,1624,Constructing,2024-2025,"[1,4]"
Ninh Bình,Ninh Bình,Coal (Local),100,Operational,1974,"[5,6]"
Nông Sơn,Quảng Nam,Coal (Local),30,Operational,2013,[7]
Ô Môn I,Cần Thơ,Natural Gas,660,Operational,2009,"[5,6]"
Ô Môn II,Cần Thơ,Natural Gas,1050,Planned,2025-2026,"[1,4]"
Ô Môn III,Cần Thơ,Natural Gas,1050,Planned,2025,"[1,4]"
Ô Môn IV,Cần Thơ,Natural Gas,1050,Planned,2026,"[1,4]"
Phả Lại I,Hải Dương,Coal (Local),440,Operational,1986,"[5,6]"
Phả Lại II,Hải Dương,Coal (Local),600,Operational,2002,"[5,6]"
Phả Lại III,Hải Dương,Coal (Local),660,Planned,2030,[1]
Phong Điền,Thừa Thiên-Huế,Coal/LNG,2000,Proposed,2030,"[2,4]"
Phú Mỹ 1,Bà Rịa - Vũng Tàu,Natural Gas,1108,Operational,2002,"[5,6]"
Phú Mỹ 2.1,Bà Rịa - Vũng Tàu,Natural Gas,896,Operational,2003,"[5,6]"
Phú Mỹ 2.2,Bà Rịa - Vũng Tàu,Natural Gas,740,Operational,2004,[3]
Phú Mỹ 3,Bà Rịa - Vũng Tàu,Natural Gas,740,Operational,2004,[3]
Phú Mỹ 3.1,Bà Rịa - Vũng Tàu,LNG,850,Planned,2027,[4]
Phú Mỹ 4,Bà Rịa - Vũng Tàu,Natural Gas,458,Operational,2004,"[5,6]"
Quảng Ninh I,Quảng Ninh,Coal (Local),600,Operational,2011,"[5,6]"
Quảng Ninh II,Quảng Ninh,Coal (Local),600,Operational,2013,"[5,6]"
Quảng Ninh III,Quảng Ninh,Coal (Import),1200,Planned,2029-2030,"[1,2]"
Quảng Trạch I,Quảng Bình,Coal (Import),1403,Constructing,2025,"[1,2]"
Quảng Trạch II,Quảng Bình,Coal (Import),1200,Planned,2026,"[1,2]"
Quảng Trị I,Quảng Trị,Coal (Import),1320,Planned,2026-2027,"[1,2]"
Quảng Trị II,Quảng Trị,Coal (Import),2000,Proposed,2030,[2]
Quỳnh Lập I,Nghệ An,Coal (Import),1200,Planned,2026,"[1,2]"
Quỳnh Lập II,Nghệ An,Coal (Import),1200,Planned,2027,"[1,2]"
Sông Hậu I,Hậu Giang,Coal (Import),1200,Operational,2021,"[1,2]"
Sông Hậu II,Hậu Giang,Coal (Import),2120,Planned,2027,"[1,2]"
Sông Hậu III,Hậu Giang,Coal (Import),2000,Proposed,2030,[2]
Sơn Động,Bắc Giang,Coal (Local),220,Operational,2011,[3]
Sơn Mỹ I,Bình Thuận,LNG,2250,Planned,2026-2028,"[1,4]"
Sơn Mỹ II,Bình Thuận,LNG,2250,Planned,2027,"[1,4]"
Tân Phước,Tiền Giang,LNG,4500,Proposed,2030,[4]
Thái Bình I,Thái Bình,Coal (Local),600,Operational,2017,"[5,6]"
Thái Bình II,Thái Bình,Coal (Local),1200,Constructing,2022,"[1,2]"
Thái Bình III,Thái Bình,Coal (Import),4000,Proposed,2030,[2]
Thu Đức,TP Hồ Chí Minh,Oil/Gas,278,Retired,2019,"[5,6]"
Uông Bí,Quảng Ninh,Coal (Local),105,Retired,2020,"[5,6]"
Uông Bí MR,Quảng Ninh,Coal (Local),630,Operational,2009,"[5,6]"
Vân Phong I,Khánh Hòa,Coal (Import),1432,Constructing,2023-2024,"[1,2]"
Vê Dan,Unknown,Natural Gas,72,Operational,2011,[3]
Vĩnh Tân I,Bình Thuận,Coal (Import),1200,Operational,2019,"[5,6]"
Vĩnh Tân II,Bình Thuận,Coal (Import),1244,Operational,2015,"[5,6]"
Vĩnh Tân III,Bình Thuận,Coal (Import),1980,Planned,2026-2027,"[1,2]"
Vĩnh Tân IV,Bình Thuận,Coal (Import),1200,Operational,2017,"[5,6]"
Vĩnh Tân IV MR,Bình Thuận,Coal (Import),600,Operational,2019,"[5,6]"
Vũng Áng II,Hà Tĩnh,Coal (Import),1330,Constructing,2025,"[1,2]"
Vũng Áng III,Hà Tĩnh,Coal (Import),2400,Canceled,2030,"[1,2]"
