name,fuel,status,cod,province,capacity_mwe
Hải Hà 2,coal,planned,2031-2035,Quảng Ninh,600.0
Hải Hà 3,coal,planned,2031-2035,Quảng Ninh,600.0
Hải Hà 4,coal,planned,2031-2035,Quảng Ninh,600.0
Hải Phòng 1,coal,operational,2017,Hải Phòng,600.0
Hải Phòng 2,coal,operational,2017,Hải Phòng,600.0
Hải Phòng I,coal,operational,2011-12-31,Hải Phòng,300.0
"If you want, I can also provide a second, cleaned CSV version with:
- one row per project unit/block,
- standardized province names,
- only plants >=100 MW,
- and a source column showing which document each row came from.",,,,,0.0
Ke Ga LNG,,planned,2035,Binh Thuan,1500.0
Kien Giang 1,gas,,after 2030,Kien Giang,750.0
Kien Giang 2,gas,,after 2030,Kien Giang,750.0
Kien Giang LNG,,planned,2030,Kien Giang,1500.0
LNG Bà Rịa 2,imported lng,planned,unknown,Bà Rịa-Vũng Tàu,1200.0
LNG Bình Định,imported lng,,unknown,Bình Định,5000.0
LNG Bạc Liêu,imported lng,planned,2021-2030,Bạc Liêu,3200.0
LNG Bến Tre,imported lng,,unknown,Bến Tre,3000.0
LNG Chân Mây,imported lng,,unknown,Thừa Thiên Huế,4000.0
"LNG Cà Mau 1,2,3",imported lng,,unknown,Cà Mau,4500.0
LNG Cà Ná,imported lng,planned,2021-2030,Ninh Thuận,1500.0
LNG Cà Ná II+III,imported lng,,unknown,Ninh Thuận,4500.0
LNG Cái Mép H,imported lng,,unknown,Bà Rịa-Vũng Tàu,6000.0
LNG Hiệp Phước giai đoạn I,imported lng,planned,2021-2030,TP. Hồ Chí Minh,1200.0
LNG Hiệp Phước I+II,imported lng,,2021-2022,TP. Hồ Chí Minh,2700.0
LNG Hà Tĩnh,imported lng,,unknown,Hà Tĩnh,6000.0
LNG Hải Lăng giai đoạn 1,imported lng,planned,2021-2030,Quảng Trị,1500.0
LNG Hải Phòng 1,imported lng,,unknown,Hải Phòng,4500.0
LNG Hải Phòng 2+3,imported lng,,unknown,Hải Phòng,6100.0
LNG Hải Phòng 4,imported lng,,unknown,Hải Phòng,4500.0
LNG Long An,imported lng,,2025-2026 / pre-2035,Long An,6000.0
LNG Long An I,imported lng,planned,2021-2030,Long An,1500.0
LNG Long An II,imported lng,planned,2031-2035,Long An,1500.0
LNG Long Sơn,imported lng,planned,2031-2035,Bà Rịa-Vũng Tàu,1500.0
LNG Long Sơn I,imported lng,,2025-2026,Bà Rịa-Vũng Tàu,1200.0
LNG Long Sơn II+III,imported lng,,unknown,Bà Rịa-Vũng Tàu,3200.0
LNG Long Sơn IV,imported lng,,unknown,Bà Rịa-Vũng Tàu,3600.0
LNG Mũi Kê Gà,imported lng,,unknown,Bình Thuận,3600.0
LNG Mỹ Giang,imported lng,,unknown,Khánh Hòa,6000.0
LNG Nghi Sơn,imported lng,planned,2021-2030,Thanh Hóa,1500.0
LNG Phong Điền,imported lng,,unknown,Thừa Thiên Huế,3000.0
LNG Quảng Bình,imported lng,,unknown,Quảng Bình,3000.0
LNG Quảng Nam,imported lng,,unknown,Quảng Nam,4000.0
LNG Quảng Ninh,imported lng,planned,2021-2030,Quảng Ninh,1500.0
LNG Quảng Ninh 1,imported lng,,unknown,Quảng Ninh,1500.0
LNG Quảng Ninh 2,imported lng,,unknown,Quảng Ninh,1500.0
LNG Quảng Ninh 3,imported lng,,unknown,Quảng Ninh,4500.0
LNG Quảng Ninh 4,imported lng,,unknown,Quảng Ninh,3000.0
LNG Quảng Trạch II,imported lng,planned,2021-2030,Quảng Bình,1500.0
LNG Quỳnh Lập / Nghi Sơn,imported lng,planned,2021-2030,Nghệ An / Thanh Hóa,1500.0
LNG Sông Đốc,imported lng,,unknown,Cà Mau,3000.0
LNG Thái Bình,imported lng,planned,2021-2030,Thái Bình,1500.0
LNG Tân Phúc,imported lng,,unknown,unknown,4500.0
LNG Tân Thuận - Đầm Dơi,imported lng,,unknown,Cà Mau,3200.0
LNG Vân Phong,imported lng,,unknown,Khánh Hòa,3000.0
Long An I LNG,imported lng,planned,2021-2030,Long An,1500.0
Long An II LNG,imported lng,,2031-2035,Long An,1500.0
Long Phu 1,coal,,2026?,Soc Trang,1200.0
Long Phu 2,coal,,2029-2030,Soc Trang,1320.0
Long Phu 3,coal,,unknown,Soc Trang,1800.0
Long Phú I,coal,constructing,2021-2030,Sóc Trăng,1200.0
Long Son I LNG,,planned,2030,Ba Ria-Vung Tau,1200.0
Long Son II-III LNG,,planned,2035,Ba Ria-Vung Tau,3200.0
Long Son LNG,imported lng,,2031-2035,Ba Ria-Vung Tau,1500.0
Long Son petrochemical cogeneration,coal,planned,2017-2018,Ba Ria-Vung Tau,225.0
Mao Khe,coal,operational,2013,Quang Ninh,440.0
Mien Trung 1,gas,,2024-2025,Quang Ngai or Quang Tri,750.0
Mien Trung 2,gas,,2024-2025,Quang Ngai or Quang Tri,750.0
Miền Trung I,gas,planned,2021-2030,Quảng Ngãi,750.0
Miền Trung II,gas,planned,2021-2030,Quảng Ngãi,750.0
Mong Duong 1,coal,operational,2016-2017,Quang Ninh,1080.0
Mong Duong 2,coal,operational,2015,Quang Ninh,1200.0
Mông Dương 1,coal,operational,2017,Quảng Ninh,1080.0
Na Duong,coal,operational,<=2011,Lang Son,111.0
Na Duong 2,coal,,2022-2023,Lang Son,110.0
Na Dương,coal,operational,2011-12-31,Lạng Sơn,111.0
Nam Dinh 1,coal,,2024-2025,Nam Dinh,1200.0
Nam Định I,coal,,2021-2030,Nam Định,1200.0
Nghi Son 1,coal,operational,2014,Thanh Hoa,600.0
Nghi Son 2,coal,,2022,Thanh Hoa,1200.0
Nghi Son LNG,imported lng,planned,2021-2030,Thanh Hoa,1500.0
Nghi Sơn 1,coal,operational,2017,Thanh Hóa,600.0
Nhon Trach 1,gas,operational,<=2011,Dong Nai,465.0
Nhon Trach 2,gas,operational,2011,Dong Nai,750.0
Nhon Trach 3,imported lng,constructing,2023-2024,Dong Nai,812.0
Nhon Trach 4,imported lng,constructing,2023-2024,Dong Nai,812.0
Nhơn Trạch 3 và 4,imported lng,,2021-2030,Đồng Nai,1624.0
Nhơn Trạch I,gas,operational,2011-12-31,Đồng Nai,465.0
Nhơn Trạch II,gas,operational,2011-12-31,Đồng Nai,750.0
Ninh Binh,coal,operational,<=2011,Ninh Binh,100.0
Ninh Bình,coal,operational,2011-12-31,Ninh Bình,100.0
Nong Son,coal,operational,2013,Quang Nam,30.0
O Mon 1,oil,operational,2017,Cần Thơ,660.0
O Mon 2,gas,planned,2021-2030,Can Tho,1050.0
O Mon 3,gas,,2025,Can Tho,1050.0
O Mon 4,gas,,2023,Can Tho,1050.0
O Mon I,oil,operational,2018,Cần Thơ,660.0
Pha Lai 1,coal,operational,2017,Hải Dương,440.0
Pha Lai 2,coal,operational,2017,Hải Dương,600.0
Phu My 1,gas,operational,<=2011,Ba Ria-Vung Tau,1108.0
Phu My 2.1,gas,operational,<=2011,Ba Ria-Vung Tau,945.0
Phu My 3.1 LNG,,planned,2030,Ba Ria-Vung Tau,850.0
Phu My 4,gas,operational,<=2011,Ba Ria-Vung Tau,477.0
Phú Mỹ 1,gas,operational,2017,Bà Rịa-Vũng Tàu,1108.0
Phú Mỹ 2.1,gas,operational,2017,Bà Rịa-Vũng Tàu,896.0
Phú Mỹ 3.1,imported lng,planned,unknown,Bà Rịa-Vũng Tàu,850.0
Phú Mỹ 4,gas,operational,2017,Bà Rịa-Vũng Tàu,458.0
Phú Mỹ I,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,1090.0
Phú Mỹ II.1,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,900.0
Phú Mỹ II.2 BOT,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,740.0
Phú Mỹ III BOT,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,740.0
Phú Mỹ IV,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,450.0
Phả Lại I,coal,operational,2011-12-31,Hải Dương,440.0
Phả Lại II,coal,operational,2011-12-31,Hải Dương,600.0
Quang Ninh 1,coal,operational,<=2011,Quang Ninh,600.0
Quang Ninh 2,coal,operational,2015,Quang Ninh,600.0
Quang Ninh LNG,imported lng,planned,2021-2030,Quang Ninh,1500.0
Quang Trach 1,coal,constructing,2024-2025,Quang Binh,1403.0
Quang Trach 2,coal,planned,2026,Quang Binh,1200.0
Quang Trach II LNG,imported lng,planned,2021-2030,Quang Binh,1500.0
Quang Tri,coal,,2026-2027,Quang Tri,1320.0
Quang Tri 1,coal,,2026-2027,Quang Tri,1320.0
Quang Tri Gas,,planned,2021-2030,Quang Tri,340.0
Quang Tri gas plant,gas,planned,2021-2030,Quang Tri,340.0
Quynh Lap / Nghi Son LNG,imported lng,planned,2021-2030,Nghe An / Thanh Hoa,1500.0
Quynh Lap 1,coal,,2026,Nghe An,1200.0
Quynh Lap 2,coal,,2027-2028,Nghe An,1200.0
Quảng Ninh 1,coal,operational,2017,Quảng Ninh,600.0
Quảng Ninh 2,coal,operational,2017,Quảng Ninh,600.0
Quảng Ninh I,coal,operational,2011-12-31,Quảng Ninh,300.0
Quảng Trạch I,coal,constructing,2021-2030,Quảng Bình,1403.0
Quảng Trị,coal,,2021-2030,Quảng Trị,1320.0
Quảng Trị GT,gas,planned,2021-2030,Quảng Trị,340.0
Rang Dong CHP,coal,planned,2025,Nam Dinh,100.0
Son Dong,coal,operational,<=2011,Bac Giang,220.0
Son My 1,imported lng,,2027-2028,Binh Thuan,2250.0
Son My 2,imported lng,,2026-2028,Binh Thuan,2250.0
Son My I LNG,,planned,2021-2030,Binh Thuan,2250.0
Son My II LNG,,planned,2021-2030,Binh Thuan,2250.0
Song Hau 1,coal,,2021,Hau Giang,1200.0
Song Hau 2,coal,,2027,Hau Giang,2120.0
Sông Hậu II,coal,,2021-2030,Hậu Giang,2120.0
Sơn Mỹ I BOT,imported lng,planned,2021-2030,Bình Thuận,2250.0
Sơn Mỹ II,imported lng,planned,2021-2030,Bình Thuận,2250.0
Sơn Động,coal,operational,2011-12-31,Bắc Giang,220.0
TBKHH Kiên Giang,imported lng,,2021-2022,Kiên Giang,1500.0
Thai Binh 1,coal,operational,2017,Thai Binh,600.0
Thai Binh 2,coal,,2021,Thai Binh,1200.0
Thai Binh LNG,imported lng,planned,2021-2030,Thai Binh,1500.0
Thang Long 1,coal,,2018-2024,Quang Ninh,300.0
Thang Long 2,coal,,2019,Quang Ninh,300.0
Thu Duc Gas Turbine,,operational,2011-12-31,Ho Chi Minh City,128.0
Thu Duc GT,gas,operational,<=2011,Ho Chi Minh City,114.0
Thái Bình 1,coal,operational,2018,Thái Bình,600.0
Thủ Đức,oil,operational,2011-12-31,TP. Hồ Chí Minh,165.0
Thủ Đức GT,gas,operational,2011-12-31,TP. Hồ Chí Minh,128.0
Thủ Đức oil,oil,operational,2017,TP. Hồ Chí Minh,165.0
Tuan Phuoc I,coal,,2027-2028,Tien Giang,1200.0
Tuan Phuoc II,coal,,2028-2029,Tien Giang,1200.0
Uong Bi,coal,operational,<=2011,Quang Ninh,105.0
Uong Bi Extension 1,coal,operational,2017,Quang Ninh,300.0
Uong Bi Extension 2,coal,operational,<=2011,Quang Ninh,330.0
Uông Bí,coal,operational,2011-12-31,Quảng Ninh,105.0
Uông Bí Extension 1,coal,operational,2017,Quảng Ninh,300.0
Uông Bí Extension 2,coal,operational,2018,Quảng Ninh,330.0
Uông Bí mở rộng II,coal,operational,2011-12-31,Quảng Ninh,330.0
Van Phong 1,coal,,2023-2024,Khanh Hoa,1432.0
Vedan,gas,operational,2011-12-31,Đồng Nai,72.0
Vedan cogeneration,coal,operational,2016,Dong Nai,60.0
Vinh Tan 1,coal,operational,2018-2019,Binh Thuan,1200.0
Vinh Tan 2,coal,operational,2014,Binh Thuan,1244.0
Vinh Tan 3,coal,,2024-2025,Binh Thuan,1980.0
Vinh Tan 4,coal,operational,2018,Binh Thuan,1200.0
Vinh Tan 4 Expansion,coal,operational,2019,Binh Thuan,600.0
Vinh Tan 4 Extension,coal,operational,2019,Binh Thuan,600.0
Vung Ang 1,coal,operational,2013,Ha Tinh,1200.0
Vung Ang 2,coal,,2026,Ha Tinh,1330.0
Vung Ang 3,coal,planned,after 2030,Ha Tinh,1200.0
Vung Ang LNG,,planned,2035,Ha Tinh,1500.0
Vân Phong I,coal,constructing,2021-2030,Khánh Hòa,1432.0
Vĩnh Tân 2,coal,operational,2017,Bình Thuận,1244.0
Vĩnh Tân 4,coal,operational,2018,Bình Thuận,1200.0
Vĩnh Tân III,coal,,2021-2030,Bình Thuận,1980.0
Vũng Áng II,coal,constructing,2021-2030,Hà Tĩnh,1330.0
Ô Môn I,oil,operational,2011-12-31,Cần Thơ,330.0
Ô Môn II,gas,planned,2021-2030,Cần Thơ,1050.0
Ô Môn III,gas,planned,2021-2030,Cần Thơ,1050.0
Ô Môn IV,gas,planned,2021-2030,Cần Thơ,1050.0
Đạm Phú Mỹ,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,21.0
Đức Giang cogeneration,coal,planned,2021-2030,Hải Phòng,100.0
