name,fuel,status,cod,province,capacity_mwe
Vĩnh Tân V (Units 9-10),Imported coal,Planned,2029,Bắc Bình (Bình Thuận),1800
Vĩnh Tân VI (Units 11-12),Imported coal,Operational,2020-2021,Bắc Bình (Bình Thuần),600
Vĩnh Tân VI (Unit 12),Imported coal,CSC,2021,Bắc Bình (Bình Thuận),0
Sơn Mỹ 2 /Nhà Bè CCGT Expansion,Gas/Oil,Limited,—,(Bà Rịa-Vũng Tàu),0
Thủ Đức (Existing),Heavy oil/naphtha,Operational,1995,Thủ Đức (Hồ Chí Minh),160
Bà Rịa,Burned light oil/Orimulsion/Imported coal,Operational,1995,Long Hải (Bà Rịa),720
Đà Nẵng,Heavy oil/naphtha,Hydrocracked residue,Operational,Nhơn Trạch /Vĩnh Tân,110
Phú Mỹ 1 (Units 1-2),Gas CC GT,Operational,—,(Bà Rịa-Vũng Tàu),0
Phú Mỹ 1.1 (Unit 3) (450MW GT),Gas CC GT,Operational,—,(Bà Rịa-Vũng Tàu),450
Phú Mỹ 2 (Units 4-5),Gas,Hydrocracked residue,Operational,—,0
Phú Mỹ 2.2 (PP2),Heavy fuel oil (HFO),Operational,—,(Bà Rịa-V. Tàu),0
Phú Mỹ 3.1 (First 600MW CC),Gas,Operational,—,Phú Mỹ (Bà Rịa-Vũng Tàu),850
Hiệp Phước (Block 1),Heavy fuel oil/Imported coal,Operational,1998,Phú Mỹ (Hồ Chí Minh),750
Quảng Trị 1,Imported coal,Proposed,2025,Quảng Trị,1320
Quảng Trị 2,Imported coal,Proposed,2026,Quảng Trị,1320
Trung Sơn 1,Domestic coal,Operational,2017,Trung Sơn (Thanh Hóa),127.5
Trung Sơn 2,Domestic coal,Operational,2018,Trung Sơn (Thanh Hóa),127.5
Trung Sơn 3,Domestic coal,Proposed,2025,Trung Sơn (Thanh Hóa),127.5
Trung Sơn 4,Domestic coal,Proposed,2026,Trung Sơn (Thanh Hóa),127.5
Yên Sơn 1,Domestic coal,Proposed,2028,Chiêm Hóa (Tuyên Quang),600
Quỳnh Lập I 1-2,Imported coal,Under Construction,2024,Quỳnh Lưu (Nghệ An),1200
Quỳnh Lập II 1-2,Imported coal,Planned,2026,Quỳnh Lưu (Nghệ An),1200
Quỳnh Lập 3 (Proposed),—,Proposed,—,(Quỳnh Lưu,0
Nghệ An 2,Imported coal,Proposed,—,(Nghệ An),600
Công Thanh 1,Imported coal,Operational,2022-2024,Thanh Hóa,600
Hà Tĩnh 1,Imported coal,Planned,—,(Hà Tĩnh),1200
Hà Tĩnh 2,Imported coal,Planned,—,(Hà Tĩnh),1200
Formosa Hà Tĩnh Block 2,Imported coal/Burned gas (for power),Limited,—,(Hà Tĩnh),650
Formosa Hà Tĩnh Block 3,Gas turbin recycle gas,Cancelled,—,(Hà Tĩnh),0
An Khê-Kanakh,Domestic coal,Operational,2005,Lệnh Khánh (Gia Lai),0
Buôn Kuop,Domestic coal,Operational,2009,Đắk Nông,280
Buôn Tua Srah,Domestic coal,Operational,2013,Đắk Nông,86
Sêrêpốk 3,Domestic coal,Operational,2015,Buôn Đôn (Đắk Lắk),220
Trị An Lower,Domestic coal,Operational,2023,Trị An (Đồng Nai),200
Trị An Upper,Hydropower turbine,Drafted non-coal,—,(Đồng Nai),0
Dầu Tiếng Lower,Hydro (minihydro),Drawn non-coal,—,(Tây Ninh),0
Thác Mơ Extension,Domestic coal,Operational as pumped storage/co-firing,—,(Bình Phước),75
Thác Mơ Lower,Domestic coal,In operation from gas to coal,—,(Bình Phước),0
Thác Mơ Upper,Run-of-river hydro,Drafted non-coal expansion,—,(Bình Phước),0
Thác Bà,(Hydropower),Operational,1974,Yên Bái,120
Hòa Bình 1,Domestic coal,Operational,1988,Khoái Châu (Hưng Yên),1680
Hòa Bình 2,Domestic coal,Operational,—,(Hưng Yên),1920
Hòa Bình 3,Domestic coal,Planned expansion,—,(Hưng Yên),0
Sơn La 1,Domestic coal/Hydroelectric mix,Operational (mostly hydropower for base),—,(Sơn La),1600
Lai Châu 1-3,Domestic coal/hydro,Mostly hydropower,2016,Lai Châu,0
Na Dương II,Domestic coal,Operational,2023,Lạng Sơn,110
Cao Ngạn 2,Domestic coal,Operational,2021,Thái Nguyên,115
Cao Ngạn 3 extension,Imported coal,Proposed,2028,(Thái Nguyên),0
Công Thanh 2,Imported coal,Planned,2030,(Thái Nguyên),0
Bình Định I,Imported coal,Proposed,2023,Bình Định,1200
Bình Định II,Imported coal,Proposed,—,(Bình Định),0
Bình Định III,Imported coal,Proposed/planning,—,(Bình Định),2000
Phú Yên Expansion (Phú Yên 1,PY1-2,Domestic coal,Proposed,2027,0
Núi Béo Extension,Domestic coal,Deferred/planned,—,(Quảng Ninh),0
Quảng Ninh 4 expansion,Coal-to-gas conversion,Proposed,—,(Quảng Ninh),0
Ngọc Lâu 1,Imported coal,Cancelled,—,(Hà Giang),0
Hà Giang Coal Project,Coal-to-power,Cancelled,—,(Hà Giang),0
Quảng Ninh Coal Extension,Imported coal,Cancelled,—,(Quảng Ninh),0
Thái Bình I 1-2,Imported coal,Operational,2023,Thái Bình,600
Thái Bình II 1-2,Imported coal,Operational,2023-2024,Thái Bình,1200
Thái Bình 3,—,Proposed,2030,(Thái Bình),0
Rạng Đông Coal Project 1,Imported coal,Planned,—,(Nam Định),0
Rạng Đông Coal Project 2,Imported coal,Planned,—,(Nam Định),0
Nam Định 1,Imported coal,Delayed,2025,Kim Sơn (Nam Định),1200
Nam Định 2,Imported coal,Planned,2027,Kim Sơn (Nam Định),1200
Nam Định 3 (Proposed),—,Proposed,—,(Nam Định),0
Quang Ninh Coal Mid-Term Plan,Phased out/Imported coal candidate,Planned/proposed,—,(Quảng Ninh),0
Mông Dương 2,Imported coal,CSC,—,(Bắc Giang),660
Mông Dương 3,Imported coal,Planned,2028,(Bắc Giang),660
Hải Phòng 3 (Block 1,HP3,Imported coal,Proposed,—,0
Hải Phòng 4 (Block 3,HP4,Imported coal,Proposed,—,0
Uông Bí 2,—,Cancelled,—,(Quảng Ninh),0
Uông Bí Mở rộng 3,—,Cancelled,—,(Uông Bí),0
Ninh Bình Extension,—,Proposed/cancelled,—,(Ninh Bình),100
Thanh Hóa 3,Imported coal,Planned/Proposed,2027,(Thanh Hóa),600
Yên Hưng Coal,Imported coal,Proposed,2029,(Hải Dương),1200
Quỳnh Lập 2,—,Planned,—,(Quỳnh Lập,0
Thái Bình IV,Imported coal,Proposed,2031,(Thái Bình),1200
Cần Thơ 1 extension,Heavy fuel oil,n/a,(Hậu Giang),—,0
Cần Thơ 2 extension,—,Cancelled,—,(Cần Thơ),0
Hậu Giang 1,—,—,Proposed,—,0
Hậu Giang 2,—,—,Proposed,—,0
Cà Mau 1,Gas/LNG,Operational,—,(Cà Mau),750
Cà Mau 2,Gas/LNG,Operational,—,(Cà Mau),750
Cà Mau 3,Gas/LNG (planned),Cancelled or delayed,—,(Cà Mau),0
Cà Mau 4 (Proposed),LNG,Proposed,—,(Cà Mau),0
Bạc Liêu,LNG,Planned,2025,Bạc Liêu,1200
Bạc Liêu 2,—,Proposed,—,(Bạc Liêu),0
Bạc Liêu 3,—,—,—,(Bạc Liêu),1200
Bạc Liêu 4,—,—,—,(Bạc Liêu),0
Cà Nã 1,LNG,Planned,2025,Kiên Giang/ Cà Mau border,1500
Cà Nã 2,LNG,Planned,2027,(Kiên Giang/Cà Mau),1500
Cà Nã 3,LNG,Planned,2029,(Kiên Giang/Cà Mau),1500
Long An 1,LNG,Planned,2025,(Long An),1200
Long An 2,LNG,Planned,2030,(Long An),1200
Long An 3,LNG,Proposed,—,(Long An),1200
Tân Phước 1,Coal,Planned,2028,Tiền Giang,1200
Tân Phước 2,Coal,Planned,2029,Tiền Giang,1200
Tân Phước 3,Coal/Gas,Planned,—,(Tiền Giang),1200
Sông Đuống 1,Coal,Proposed,—,(Hà Nội),0
Haiphong Port Coal Plant,Coal,—,—,(Hải Phòng),0
Bến Tre 1,LNG,Planned,2026-2027,(Bến Tre),600
Bến Tre 2,LNG,Proposed,—,(Bến Tre),600
Cà Mau Solid Waste Power,Waste-to-energy/refuse-derived fuel (RDF),Proposed,—,(Cà Mau),0
Phú Thọ 1,Imported coal,Planned,2023-25,Phú Thọ,600
Phú Thọ 2,Imported coal,Planned,2026+,(Phú Thọ),600
Bắc Giang CONCEPT,Burning low-grade coal,Study only,—,(Bắc Giang),0
Thái Bình CONCEPT 2,Coal,—,—,(Thái Bình),0
Nhà máy điện Ô Môn I,GAS,,,Cần Thơ,0
Nhà máy điện Ô Môn II,GAS,,,Cần Thơ,0
Nhà máy điện Ô Môn III,GAS,,,Cần Thơ,0
Nhà máy điện Ô Môn IV,GAS,,,Cần Thơ,0
TBKK Dung Quất I,GAS,,,Quảng Ngãi,0
TBKK Dung Quất II,GAS,,,Quảng Ngãi,0
TBKK Dung Quất III,GAS,,,Quảng Ngãi,0
TBKK Miền Trung I,GAS,,,Quảng Trị,0
TBKK Miền Trung II,GAS,,,Quảng Trị,0
TBKK Quảng Trị,GAS,,,Quảng Trị,0
TBKK Bạc Liêu,GAS,,,Bạc Liêu,0
TBKK Cà Mau 1-2,GAS,,,Cà Mau,0
TBKK Kiên Giang,GAS,,,Kiên Giang,0
TBKK Phú Mỹ 1-2,Bà Rịa Vũng Tàu,,,Phú Mỹ,0
TBKK Phú Mỹ 3.1,Bà Rịa Vũng Tàu,,,Phú Mỹ,0
TBKK Phú Mỹ 4,Bà Rịa Vũng Tàu,,,Phú Mỹ,0
TBKK Sơn Mỹ II 1-5,Bà Rịa Vũng Tàu,,,Phú Mỹ,0
TBKK Sơn Mỹ I 1-5,Bà Rịa Vũng Tàu,,,Phú Mỹ,0
Nhà máy điện Cà Mau 1-2,GAS,,,Cà Mau,0
Nhà máy điện Hải Phòng I,GAS,,,Hải Phòng,0
Nhà máy điện Hải Phòng II,GAS,,,Hải Phòng,0
LNG Quảng Ninh 1,imported LNG,,,Quảng Ninh,0
LNG Quảng Ninh 2,imported LNG,,,Quảng Ninh,0
LNG Thái Bình 1-3,imported LNG,,,Thái Bình,0
LNG Hải Phòng 1,imported LNG,,,Hải Phòng,0
LNG Hải Phòng 2,imported LNG,,,Hải Phòng,0
LNG Hải Phòng 3,imported LNG,,,Hải Phòng,0
LNG Hải Phòng 4,imported LNG,,,Hải Phòng,0
LNG Nghi Sơn 1-3,imported LNG,,,Thanh Hóa,0
LNG Vũng Áng 1+2,imported LNG,,,Hà Tĩnh,0
LNG Vĩnh Tân 1,imported LNG,,,Bình Thuận,0
LNG Cà Ná 1,imported LNG,,,Ninh Thuận,0
LNG Cà Ná 2,imported LNG,,,Ninh Thuận,0
LNG Kê Gà 1,imported LNG,,,Bình Thuận,0
LNG Kê Gà 2,imported LNG,,,Bình Thuận,0
LNG Hiệp Phước 1+2,imported LNG,,,Hồ Chí Minh,0
LNG Long Sơn 1 - 4,imported LNG,,,Bà Rịa Vũng Tàu,0
LNG Nhơn Trạch 3&4,imported LNG,,,Đồng Nai,0
LNG Cái Mép,imported LNG,,,Bà Rịa Vũng Tàu,0
LNG Bến Tre 1,imported LNG,,,Bến Tre,0
LNG Sông Đốc 1,imported LNG,,,Cà Mau,0
LNG Tân Thuận - Đầm Dơi,imported LNG,,,Cà Mau,0
LNG Cà Mau 3,imported LNG,,,Cà Mau,0
LNG Mũi Kê Gà 1,proposed,,,Phú Yên,0
LNG Mũi Kê Gà 2,proposed,,,Phú Yên,0
LNG Long An I,imported LNG,,,Long An,0
LNG Long An II,imported LNG,,,Long An,0
Thủ Đức (Ho Chi Minh City),,Operating,,Ho Chi Minh City,165
Cần Thơ (Can Tho),,Operating,,Can Tho,35
Ô Môn I (Om Mon 1),,Operating,,Hau Giang,660
Hiệp Phước,,Operating,,Ho Chi Minh City,375
Bourbon,,Operating,,Ho Chi Minh City,24
NĐ Formosa Hà Tĩnh #2,,Operating,,Hà Tĩnh,150
NĐ Formosa Hà Tĩnh #5,,Operating,,Hà Tĩnh,150
NMĐ sinh khối KCP #1 (Phú Yên),,Operating,,Phú Yên,30
NMĐ sinh khối KCP #2 (Phú Yên),,Operating,,Phú Yên,30
Điện sinh khối An Khê #1,,Operating,,Quảng Ngãi,55
Điện sinh khối An Khê #2,,Operating,,Quảng Ngãi,55
NĐ đồng phát Hải Hà 1,,Operating,,Quảng Ninh,300
NĐ đồng phát Hải Hà 2,,Operating,,Quảng Ninh,600
NĐ đồng phát Hải Hà 3,,Operating,,Quảng Ninh,600
NĐ đồng phát Hải Hà 4,,Operating,,Quảng Ninh,600
NĐ khí dư Hòa Phát II,,Operating,,Hà Nội,300
Formosa HT2,,Operating,,Hà Tĩnh,650
