name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Formosa Hà Tĩnh #3,Domestic gas,Operational,2014-2015,Hà Tĩnh,100.0,,,Blast furnace gas unit
Formosa Hà Tĩnh #4,Domestic gas,Operational,2014-2015,Hà Tĩnh,100.0,,,Blast furnace gas unit
Formosa Hà Tĩnh #5,Coal,Operational,2016,Hà Tĩnh,150.0,,,Steel plant unit
Formosa Hà Tĩnh #6,Coal,Operational,2017-2020,Hà Tĩnh,150.0,,,Steel plant expansion
Formosa Hà Tĩnh #7,Coal,Operational,2017-2020,Hà Tĩnh,150.0,,,Steel plant expansion
Formosa Hà Tĩnh #8,Domestic gas,Operational,2017-2020,Hà Tĩnh,100.0,,,Blast furnace gas unit
Formosa Hà Tĩnh #9,Domestic gas,Operational,2017-2020,Hà Tĩnh,100.0,,,Blast furnace gas unit
Formosa Hà Tĩnh #10,Coal,Operational,2017-2020,Hà Tĩnh,150.0,,,Steel plant expansion
Formosa Hà Tĩnh HT2,Coal,Operational,2017,Hà Tĩnh,650.0,,,Large cogen plant
Hà Tĩnh,Coal,Under construction,2025-2026,Thanh Hóa,1200.0,,,2x600 MW BOT
Hải Dương,Coal,Proposed,2028-2029,Hải Phòng,600.0,,,Delayed from original 2025-2026
Hải Dương,Coal,Proposed,2028-2029,Hải Phòng,600.0,,,Delayed from original 2025-2026
Hải Dương,Coal,Proposed,2030+,Hải Phòng,600.0,,,Proposed expansion
Hải Dương,Coal,Proposed,2030+,Hải Phòng,600.0,,,Proposed expansion
Hải Dương,Coal,Operational,2012-2013,Hải Phòng,300.0,,,First unit
Hải Dương,Coal,Operational,2013-2014,Hải Phòng,300.0,,,Second unit
Hải Phòng I,Coal,Operational,1970s-1980s,Hải Phòng,300.0,,,Older plant
Hải Phòng II,Coal,Operational,2012-2014,Hải Phòng,600.0,,,2x300 MW
Hải Phòng III,Coal,Proposed,2028-2030,Hải Phòng,2400.0,,,4x600 MW delayed project
Hàm Thuận,Coal,Operational,1985-1995,Bình Thuận,300.0,,,2x150 MW
Hậu Sông Hậu,Coal,Financed,2027-2028,Hậu Giang,2120.0,,,2x1060 MW BOT
Hiệp Phước,Oil,Decommissioned,2000s,Hồ Chí Minh,375.0,,,Retired oil plant
Hiệp Phước I+II LNG,Imported LNG,Proposed,2025-2027,Hồ Chí Minh,2700.0,,,Converted to LNG
Hòa Bình mở rộng,Coal,Under construction,2023-2024,Sơn La,480.0,,,2x240 MW expansion
Hòa Phát II,Domestic gas,Operational,2015,Bắc Giang,300.0,,,Steel plant cogen
Hồi Xuân,Coal,Operational,2013,Thanh Hóa,102.0,,,Small coal plant
Huổi Quảng #1-2,Coal,Operational,2015-2016,Sơn La,520.0,,,2x260 MW CFB
Huổi Tạo,Coal,Proposed,2030+,Sơn La,180.0,,,Proposed expansion
Ia Ly,Coal,Operational,2000-2004,Gia Lai,720.0,,,3x240 MW CFB
Ia Ly mở rộng,Coal,Proposed,2025,Gia Lai,360.0,,,Proposed 2x180 MW expansion
KCP #1 (Phú Yên),Biomass,Excluded,,Phú Yên,30.0,,,Excluded (biomass)
KCP #2 (Phú Yên),Biomass,Excluded,,Phú Yên,30.0,,,Excluded (biomass)
Kèn Bầu LNG,Domestic gas,Proposed,2030+,Bà Rịa-Vũng Tàu,2100.0,,,Future gas field development
Kim Sơn LNG,Imported LNG,Proposed,2027-2030,Ninh Bình,3000.0,,,Proposed LNG terminal
LNG Bến Tre,Imported LNG,Proposed,2030+,Bến Tre,3000.0,,,Greenfield LNG project
LNG Cái Mép H,Imported LNG,Proposed,2030+,Bà Rịa-Vũng Tàu,6000.0,,,Large LNG complex
LNG Càng Đờn,Imported LNG,Cancelled,2015,Nghệ An,78.0,,,Coal plant cancelled
LNG Cát Hải,Imported LNG,Proposed,2030+,Hải Phòng,6100.0,,,Proposed LNG terminal
LNG Cần Thơ,Imported LNG,Proposed,2025-2027,Cần Thơ,1500.0,,,Proposed conversion
LNG Chân Mây,Imported LNG,Proposed,2025-2027,Thừa Thiên Huế,4000.0,,,Greenfield project
LNG Đăk R'Tih,Imported LNG,Cancelled,2015,Gia Lai,144.0,,,Coal plant cancelled
LNG Đồng Nai,Imported LNG,Proposed,2030+,Đồng Nai,6000.0,,,Proposed large complex
LNG Đông Sơn,Imported LNG,Proposed,2030+,Thanh Hóa,4500.0,,,Proposed terminal
LNG Hà Tĩnh,Imported LNG,Proposed,2025-2027,Hà Tĩnh,6000.0,,,Formosa conversion study
LNG Hải Hà,Imported LNG,Proposed,2026-2028,Quảng Ninh,3000.0,,,Potential conversion
LNG Hải Lăng I,Imported LNG,Proposed,2026-2027,Quảng Trị,4500.0,,,Approved in PDP8
LNG Hải Lăng II,Imported LNG,Proposed,2028-2030,Quảng Trị,1500.0,,,Expansion phase
LNG Hải Phòng 1,Imported LNG,Proposed,2027-2029,Hải Phòng,4500.0,,,Proposed terminal
LNG Hải Phòng 2,Imported LNG,Proposed,2030+,Hải Phòng,1600.0,,,Proposed terminal
LNG Hải Phòng 3,Imported LNG,Proposed,2030+,Hải Phòng,4500.0,,,Proposed terminal
LNG Hải Phòng 4,Imported LNG,Proposed,2030+,Hải Phòng,4500.0,,,Proposed terminal
LNG Hải Lăng–Quảng Trị,Imported LNG,Proposed,2026-2027,Quảng Trị,4500.0,,,Phased development
LNG Hòa Phát,Imported LNG,Proposed,2027-2029,Bắc Giang,1800.0,,,Steel plant expansion
LNG Hồi Xuân,Imported LNG,Cancelled,2015,Thanh Hóa,102.0,,,Coal plant cancelled
LNG Kèn Bầu,Domestic gas,Proposed,2030+,Bà Rịa-Vũng Tàu,2100.0,,,Future gas development
LNG Lạch Huyện,Imported LNG,Proposed,2027-2030,Hải Phòng,4500.0,,,LNG terminal
LNG Long An I,Imported LNG,Proposed,2025-2026,Long An,1500.0,,,PDP8 approved
LNG Long An I (chuyển đổi),Coal,Cancelled,2020,Long An,1200.0,,,"Originally coal, cancelled"
LNG Long An II,Imported LNG,Proposed,2029-2030,Long An,1500.0,,,PDP8 approved
LNG Long An II (chuyển đổi),Coal,Cancelled,2020,Long An,1600.0,,,"Originally coal, cancelled"
LNG Long Phú,Imported LNG,Proposed,2030+,Sóc Trăng,1500.0,,,Potential conversion
LNG Long Sơn I,Imported LNG,Proposed,2025-2026,Bà Rịa-Vũng Tàu,1200.0,,,PDP8 approved
LNG Long Sơn II+III,Imported LNG,Proposed,2027-2030,Bà Rịa-Vũng Tàu,3200.0,,,Expansion phases
LNG Long Sơn IV,Imported LNG,Proposed,2030+,Bà Rịa-Vũng Tàu,3600.0,,,Future expansion
LNG Mũi Giang,Imported LNG,Proposed,2030+,Khánh Hòa,3000.0,,,Proposed terminal
LNG Mũi Hèo,Imported LNG,Proposed,2030+,Khánh Hòa,4500.0,,,Large potential site
LNG Mũi Kê Gà,Imported LNG,Proposed,2028-2030,Bình Thuận,3600.0,,,Proposed terminal
LNG Mỹ Giang,Imported LNG,Proposed,2028-2030,Khánh Hòa,6000.0,,,Large complex
LNG Nam Định I,Imported LNG,Proposed,2025-2030,Nam Định,1200.0,,,"Original coal cancelled, LNG study"
LNG Nam Định II,Imported LNG,Proposed,2030+,Nam Định,2000.0,,,New LNG project
LNG Ngòi Phát,Imported LNG,Cancelled,2015,Hà Giang,72.0,,,Coal plant cancelled
LNG Nghi Sơn I,Coal,Operational,2014-2015,Thanh Hóa,1200.0,,,2x600 MW
LNG Nghi Sơn II,Coal,Under construction,2025-2026,Thanh Hóa,1200.0,,,2x600 MW BOT
LNG Nghi Sơn,Imported LNG,Proposed,2026-2028,Thanh Hóa,1500.0,,,Conversion study
LNG Phong Điền,Imported LNG,Proposed,2027-2029,Thừa Thiên Huế,3000.0,,,Proposed conversion
LNG Phú Mỹ 3.1,Imported LNG,Proposed,2025-2027,Bà Rịa-Vũng Tàu,850.0,,,Expansion of Phu My
LNG Phú Yên,Imported LNG,Proposed,2028-2030,Phú Yên,4000.0,,,Greenfield project
LNG Quảng Bình,Imported LNG,Proposed,2026-2028,Quảng Bình,3000.0,,,Proposed terminal
LNG Quảng Nam,Imported LNG,Proposed,2030+,Quảng Nam,4000.0,,,Potential conversion
LNG Quảng Ngãi,Imported LNG,Proposed,2030+,Quảng Ngãi,4000.0,,,Proposed terminal
LNG Quảng Ninh 1,Imported LNG,Proposed,2025-2027,Quảng Ninh,1500.0,,,PDP8 approved
LNG Quảng Ninh 2,Imported LNG,Proposed,2027-2029,Quảng Ninh,1500.0,,,Expansion
LNG Quảng Ninh 3,Imported LNG,Proposed,2030+,Quảng Ninh,4500.0,,,Future expansion
LNG Quảng Ninh 4,Imported LNG,Proposed,2030+,Quảng Ninh,3000.0,,,Hai Ha potential
LNG Quảng Trị,Imported LNG,Proposed,2026-2027,Quảng Trị,1320.0,,,Conversion from coal
LNG Quỳnh Lập,Imported LNG,Proposed,2027-2030,Nghệ An,1500.0,,,Potential terminal
LNG Quỳnh Lập I,Coal,Suspended,2022-2023,Nghệ An,1200.0,,,"Permitted, delayed"
LNG Quỳnh Lập II,Coal,Suspended,2027-2028,Nghệ An,1200.0,,,"PPA issues, delayed"
LNG Sê Kông,Imported LNG,Cancelled,2015,Quảng Nam,192.0,,,Coal plant cancelled
LNG Sông Côn,Imported LNG,Cancelled,2015,Bình Định,63.0,,,Coal plant cancelled
LNG Sông Đốc,Imported LNG,Proposed,2030+,Cà Mau,3000.0,,,Greenfield project
LNG Sông Tranh 3,Imported LNG,Cancelled,2015,Quảng Nam,62.0,,,Coal plant cancelled
LNG Thái Bình,Imported LNG,Proposed,2027-2030,Thái Bình,4500.0,,,Proposed terminal
LNG Thái Bình II,Coal,Under construction,2021-2022,Thái Bình,1200.0,,,2x600 MW
LNG Thiên Tân 1,Solar,Excluded,Ninh Thuận,300,0,,,
LNG Thiên Tân 2,Solar,Excluded,Ninh Thuận,400,0,,,
LNG Thiên Tân 3,Solar,Excluded,Ninh Thuận,300,0,,,
LNG Tiên Lãng,Imported LNG,Proposed,2026-2028,Hải Phòng,4500.0,,,Proposed terminal
LNG Trà Khúc,Imported LNG,Cancelled,2015,Quảng Ngãi,36.0,,,Coal plant cancelled
LNG Trung - Nam,Solar,Excluded,Ninh Thuận,300,0,,,
LNG Tân Phúc,Imported LNG,Proposed,2030+,Tiền Giang,4500.0,,,Proposed terminal
LNG Tân Thuận,Imported LNG,Proposed,2030+,Cà Mau,3200.0,,,Greenfield project
LNG Vũng Áng,Imported LNG,Proposed,2025-2027,Hà Tĩnh,1500.0,,,Conversion study
LNG Vũng Áng II,Coal,Under construction,2024-2025,Hà Tĩnh,1200.0,,,BOT project
LNG Vũng Áng III #1,Coal,Suspended,2024-2025,Hà Tĩnh,600.0,,,"Permitted, delayed"
LNG Vũng Áng III #2,Coal,Suspended,2028-2029,Hà Tĩnh,600.0,,,"Permitted, delayed"
LNG Vũng Áng III #3,Coal,Proposed,2030+,Hà Tĩnh,600.0,,,Early proposal
LNG Vũng Áng III #4,Coal,Proposed,2030+,Hà Tĩnh,600.0,,,Early proposal
LNG Bạc Liêu 1-2-3,Imported LNG,Proposed,2025-2030,Bạc Liêu,3200.0,,,3 phases approved
LNG Đầu tư Energy Capital,Imported LNG,Proposed,2030+,Bà Rịa-Vũng Tàu,750.0,,,Proposed project
LNG Đầu tư Genco 3,Imported LNG,Proposed,2030+,Bà Rịa-Vũng Tàu,750.0,,,Proposed project
LNG Đầu tư Hamek,Imported LNG,Proposed,2027-2029,Bà Rịa-Vũng Tàu,750.0,,,Proposed project
LNG Đầu tư Marubeni,Imported LNG,Proposed,2027-2029,Bà Rịa-Vũng Tàu,750.0,,,Proposed project
LNG Đầu tư VinaCapital,Imported LNG,Proposed,2027-2030,Bà Rịa-Vũng Tàu,750.0,,,Proposed project
LNG Đội phú chúng Bampx,Imported LNG,Proposed,2028-2030,Bà Rịa-Vũng Tàu,750.0,,,Proposed project
LNG E-542,Imported LNG,Proposed,2030+,Multiple,0.0,,,Study project
LNG Phú Mỹ 3 BOT,Imported LNG,Proposed,2027-2030,Bà Rịa-Vũng Tàu,1200.0,,,Proposed BOT
LNG Tập đoàn AES,Imported LNG,Proposed,2027-2029,Bà Rịa-Vũng Tàu,2250.0,,,Proposed BOT
LNG Tập đoàn Điện lực Việt Nam,Imported LNG,Proposed,2030+,Multiple,0.0,,,Study
LNG Tập đoàn T&T,Imported LNG,Proposed,2028-2030,Bà Rịa-Vũng Tàu,750.0,,,Proposed project
LNG Tổ hợp Genco 3-Thành Thành Công,Imported LNG,Proposed,2030+,Bà Rịa-Vũng Tàu,750.0,,,Proposed project
LNG Xe bọc bê tông,Imported LNG,Proposed,2030+,Bà Rịa-Vũng Tàu,0.0,,,Study only
Long An I (chuyển đổi),Coal,Cancelled,2020,Long An,1200.0,,,Originally coal cancelled
Long An II (chuyển đổi),Coal,Cancelled,2020,Long An,1600.0,,,Originally coal cancelled
Long An III (chuyển đổi),Coal,Cancelled,2020,Long An,1200.0,,,Originally coal cancelled
Long Phú I,Coal,Suspended,2018-2020,Sóc Trăng,1200.0,,,"78% complete, halted"
Long Phú II,Coal,Suspended,2021-2022,Sóc Trăng,1320.0,,,BOT delayed 8 years
Long Phú III,Coal,Cancelled,2020,Sóc Trăng,1800.0,,,"Transferred to Banpu, delayed"
Lục Nam #1,Coal,Proposed,2022-2023,Bắc Giang,50.0,,,Small coal plant
Lục Nam #2,Coal,Proposed,2023-2024,Bắc Giang,50.0,,,Small coal plant
Măng Đen,Coal,Proposed,2030+,Bình Định,100.0,,,Early proposal
Mạo Khê,Coal,Operational,2012-2013,Quảng Ninh,440.0,,,2x220 MW
Mông Dương I #1-2,Coal,Operational,2015,Quảng Ninh,1080.0,,,2x540 MW
Mông Dương II #1-2,Coal,Operational,2015,Quảng Ninh,1200.0,,,2x600 MW BOT
Mông Dương III,Coal,Proposed,2030+,Quảng Ninh,1200.0,,,Proposed expansion
Mỹ Lý,Coal,Suspended,2021-2022,Nghệ An,250.0,,,"Delayed 3 years, financing issues"
Nam Định I (chuyển đổi),Coal,Cancelled,2020,Nam Định,1200.0,,,Originally coal cancelled
Nam Định I,Coal,Financed,2024-2025,Nam Định,1200.0,,,BOT delayed 3 years
Nam Định II,Coal,Proposed,2026-2027,Nam Định,2000.0,,,Proposed BOT
Nậm Chiến #1-2,Coal,Operational,2011-2012,Sơn La,200.0,,,2x100 MW
Nậm Củm 1,Coal,Proposed,2019,Nghệ An,65.0,,,Small plant
Nậm Củm 2-3,Coal,Proposed,2020,Nghệ An,54.0,,,Small plant
Nậm Củm 4,Coal,Suspended,2019-2020,Nghệ An,54.0,,,"Permitted, delayed"
Nậm Củm 5-6,Coal,Proposed,2020-2021,Nghệ An,65.0,,,Small plant
Nậm Mô (Lào),Coal,Operational,2014-2015,Hà Tĩnh,95.0,,,Import from Laos
Nậm Mô I (Việt Nam),Coal,Proposed,2025-2026,Hà Tĩnh,95.0,,,Expansion project
Nậm Mô 1 Lào,Coal,Proposed,2026-2027,Hà Tĩnh,72.0,,,Future import
Nậm Na 2,Coal,Operational,2013,Sơn La,66.0,,,Small plant
Nậm Na 3,Coal,Operational,2014,Sơn La,84.0,,,Small plant
Nậm Pân 5,Coal,Proposed,2020-2021,Sơn La,35.0,,,Small plant
Nậm Sum 1 (Lào),Coal,Operational,2018,Bình Định,90.0,,,Import from Laos
Nậm Sum 3 (Lào),Coal,Proposed,2019,Bình Định,196.0,,,Import from Laos
Nậm Tống,Coal,Operational,2016,Hà Giang,34.0,,,Small plant
Na Dương I #1-2,Coal,Operational,2005,Nguyên,100.0,,,2x50 MW
Na Dương II,Coal,Under construction,2023-2024,Lạng Sơn,110.0,,,Delayed 4 years
Nghi Sơn I #1-2,Coal,Operational,2014-2015,Thanh Hóa,600.0,,,2x300 MW
Nghi Sơn II #1-2,Coal,Under construction,2025-2026,Thanh Hóa,1200.0,,,2x600 MW BOT
Nhà máy điện dự phòng EVN,Diesel,Operational,1990s,Multiple,285.0,,,Multiple diesel units
Nhà máy tua bin khí,Domestic gas,Operational,2005-2010,Bà Rịa-Vũng Tàu,389.0,,,Gas turbine
Nhân Hạc,Coal,Operational,2016,Quảng Bình,59.0,,,Small plant
Nho Quế 1,Coal,Operational,2016,Hà Giang,32.0,,,Small plant
Nho Quế 2,Coal,Operational,2016,Hà Giang,48.0,,,Small plant
Nho Quế 3 #1-2,Coal,Operational,2012,Thanh Hóa,110.0,,,2x55 MW
Nhơn Trạch 3,Imported LNG,Proposed,2023-2024,Đồng Nai,750.0,,,PP progress delayed
Nhơn Trạch 4,Imported LNG,Proposed,2024-2025,Đồng Nai,750.0,,,Delayed from 2020-2021
Nhơn Trạch 3&4,Imported LNG,Proposed,2023-2024,Đồng Nai,1500.0,,,Combined project
Ô Môn I,Oil,Operational,1990s,Cần Thơ,330.0,,,Converted to gas 2022
Ô Môn I (chuyển khí),Domestic gas,Operational,2022,Cần Thơ,660.0,,,Converted from oil
Ô Môn II,Domestic gas,Proposed,2025-2027,Cần Thơ,1050.0,,,"Lô B gas, delayed"
Ô Môn III,Domestic gas,Operational,2020,Cần Thơ,750.0,,,Lô B gas
Ô Môn IV,Domestic gas,Proposed,2023-2024,Cần Thơ,1050.0,,,"Lô B gas, delayed 3 years"
Phả Lại I,Coal,Operational,1983-1986,Hải Dương,440.0,,,4x110 MW
Phả Lại II,Coal,Operational,2001-2003,Hải Dương,600.0,,,2x300 MW
Phả Lại 3,Coal,Proposed,2025-2026,Hải Dương,660.0,,,Proposed 660 MW
Phong Điền,Coal,Proposed,2025-2027,Thừa Thiên Huế,2000.0,,,"Coal proposal, LNG study"
Phú Mỹ I,Oil,Decommissioned,1990s,Bà Rịa-Vũng Tàu,1090.0,,,Retired oil plant
Phú Mỹ II.1,Oil,Decommissioned,2000s,Bà Rịa-Vũng Tàu,900.0,,,Retired oil plant
Phú Mỹ II.2 BOT,Oil,Decommissioned,2000s,Bà Rịa-Vũng Tàu,740.0,,,Retired BOT
Phú Mỹ II.2 BOT (LNG),Imported LNG,Proposed,2027-2029,Bà Rịa-Vũng Tàu,740.0,,,Conversion proposed
Phú Mỹ III BOT,Oil,Decommissioned,2000s,Bà Rịa-Vũng Tàu,740.0,,,Retired BOT
Phú Mỹ III (LNG),Imported LNG,Proposed,2027-2029,Bà Rịa-Vũng Tàu,740.0,,,Conversion proposed
Phú Mỹ IV,Domestic gas,Operational,2005,Bà Rịa-Vũng Tàu,450.0,,,Gas turbine
Phú Mỹ 2.1,Domestic gas,Operational,2010,Bà Rịa-Vũng Tàu,896.0,,,Modified capacity
Phú Mỹ 3.1 LNG,Imported LNG,Proposed,2025-2027,Bà Rịa-Vũng Tàu,850.0,,,New LNG unit
Phú Thọ #1,Coal,Proposed,2028-2029,Phú Thọ,300.0,,,New coal plant
Phú Thọ #2,Coal,Proposed,2029-2030,Phú Thọ,300.0,,,Second unit
Phú Thọ #3-4,Coal,Proposed,2030+,Phú Thọ,600.0,,,Expansion units
Quảng Ninh I,Coal,Operational,2009-2011,Quảng Ninh,300.0,,,2x150 MW
Quảng Ninh II,Coal,Operational,2014-2015,Quảng Ninh,600.0,,,2x300 MW
Quảng Ninh III #1-2,Coal,Proposed,2029-2030,Quảng Ninh,1200.0,,,Proposed 2x600 MW
Quảng Ninh III #3-4,Coal,Proposed,2030+,Quảng Ninh,2000.0,,,Proposed 2x1000 MW
Quảng Trạch I #1-2,Coal,Financed,2024-2025,Quảng Bình,1200.0,,,BOT project
Quảng Trạch II #1-2,Coal,Proposed,2028-2029,Quảng Bình,1200.0,,,Proposed 2x600 MW
Quảng Trị #1,Coal,Financed,2026-2027,Quảng Trị,600.0,,,BOT project
Quảng Trị #2,Coal,Proposed,2028-2030,Quảng Trị,600.0,,,Second phase
Quảng Trị II,Coal,Proposed,2030+,Quảng Trị,2000.0,,,Proposed 2x1000 MW
Quỳnh Lập I #1-2,Coal,Suspended,2022-2023,Nghệ An,1200.0,,,"Permitted, delayed 4 years"
Quỳnh Lập II #1-2,Coal,Proposed,2027-2028,Nghệ An,1200.0,,,"POSCO study, 2x660 MW"
Rạng Đông LNG,Imported LNG,Proposed,2030+,Nam Định,2400.0,,,New LNG project
Sê Kaman 1 (Lào),Coal,Operational,2014-2016,Quảng Trị,290.0,,,Import from Laos
Sê Kaman 3 (Lào),Coal,Operational,2011,Thừa Thiên Huế,250.0,,,Import from Laos
Sê Kaman 4 (Lào),Coal,Operational,2018,Quảng Bình,64.0,,,Import from Laos
Sê Kaman Xanxay (Lào),Coal,Operational,2017,Quảng Bình,32.0,,,Import from Laos
Sê San 3,Coal,Operational,2009-2010,Gia Lai,260.0,,,2x130 MW CFB
Sê San 3A,Coal,Operational,2011-2012,Gia Lai,108.0,,,Small unit
Sê San 4,Coal,Operational,2010-2012,Gia Lai,360.0,,,3x120 MW CFB
Sê San 4A,Coal,Operational,2011-2012,Gia Lai,63.0,,,Small plant
Sông Ba Ha,Coal,Operational,2008-2010,Quảng Ngãi,220.0,,,Small plant
Sông Bung 2,Coal,Operational,2016-2018,Quảng Nam,100.0,,,Delayed 1.5 years
Sông Bung 4,Coal,Operational,2014-2015,Quảng Nam,156.0,,,3x52 MW CFB
Sông Côn,Coal,Operational,2012,Bình Định,63.0,,,Small plant
Sông Đốc,Coal,Proposed,2030+,Cà Mau,3000.0,,,Proposed coal
Sông Hinh,Coal,Operational,2005-2007,Phú Yên,70.0,,,Small plant
Sông Lô 6,Coal,Operational,2018,Hà Giang,44.0,,,Small plant
Sông Miện 4,Coal,Operational,2018,Phú Thọ,38.0,,,Small plant
Sông Tranh 2,Coal,Operational,2010-2012,Quảng Nam,190.0,,,2x95 MW CFB
Sông Tranh 3,Coal,Operational,2016,Quảng Nam,62.0,,,Small unit
Sông Tranh 4,Coal,Operational,2016,Quảng Nam,48.0,,,Small unit
Sông bùng 2,Coal,Operational,2016,Quảng Nam,100.0,,,Delayed project
Sông Đốc,Imported LNG,Proposed,2030+,Cà Mau,3000.0,,,LNG conversion
Srêpok 3,Coal,Operational,2009-2010,Đắk Lắk,220.0,,,2x110 MW CFB
Srêpok 4,Coal,Operational,2011-2012,Đắk Lắk,80.0,,,Small plant
Srokphumieng,Coal,Operational,2006-2008,Bình Phước,51.0,,,Small plant
Thác Bà,Coal,Operational,1970s,Yên Bái,120.0,,,Old plant
Thác Mơ,Coal,Operational,1975-1985,Bình Phước,150.0,,,2x75 MW
Thác Mơ mở rộng,Coal,Operational,2017,Bình Phước,75.0,,,Expansion unit
Than Bắc Giang,Coal,Proposed,2025-2026,Bắc Giang,300.0,,,Proposed coal plant
Than Bảo Đại,Coal,Operational,2022,Bắc Ninh,600.0,,,CFB plant
Than Bình Định I #1-2,Coal,Proposed,2026-2028,Bình Định,1200.0,,,2x600 MW
Than Bình Định II #1-2,Coal,Proposed,2028-2030,Bình Định,1200.0,,,2x600 MW
Than Bình Định III,Coal,Proposed,2030+,Bình Định,2000.0,,,Proposed 2x1000 MW
Than Hóa - Thái Bình,Coal,Proposed,2030+,Thanh Hóa,2000.0,,,Proposed plant
Than Hải Hà,Coal,Proposed,2026-2028,Quảng Ninh,3000.0,,,Mixed domestic/imported
